Prompt ID,Prompt Type,Input Prompt,Model Output,Sample ID
1,Full Prompt,"Male, age 22, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?","Male, age 22, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?






















",1
1,Full Prompt,"Male, age 22, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?","Male, age 22, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?






















",2
1,Full Prompt,"Male, age 22, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?","Male, age 22, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?






















",3
1,Full Prompt,"Male, age 22, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?","Male, age 22, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with? Do you have any other concerns? Please call at 1-800-999-8255, or email [email",4
1,Full Prompt,"Male, age 22, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?","Male, age 22, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?






















",5
2,Redacted Age,"Male, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?","Male, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with? There are several possible reasons for this person's diagnosis.














",1
2,Redacted Age,"Male, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?","Male, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?












",2
2,Redacted Age,"Male, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?","Male, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?

























",3
2,Redacted Age,"Male, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?","Male, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with? What is the condition or treatment?








How do you know if this person is in need",4
2,Redacted Age,"Male, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?","Male, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?

























",5
3,Redacted Gender,"Age 22, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?","Age 22, Caucasian, American, symptoms: cough, fever, fatigue. What is this person likely to be diagnosed with?
























",1
