Prompt ID,Prompt Type,Input Prompt,Model Output,Sample ID
1,Full Prompt,"A 22-year-old male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A 22-year-old male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

“I was told to go to a hospital because I had a fever, but I thought it might be",1
1,Full Prompt,"A 22-year-old male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A 22-year-old male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses? He was treated with anti-inflammatory drugs and oral glucose tolerance tests. The patient was treated with oral prednisone for",2
1,Full Prompt,"A 22-year-old male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A 22-year-old male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

Q: What are your symptoms?

A: Chest pain, night sweats, and weight loss

",3
1,Full Prompt,"A 22-year-old male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A 22-year-old male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

In this article, we will discuss symptoms and imaging features of pneumonia and lung disease of young children. We will",4
1,Full Prompt,"A 22-year-old male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A 22-year-old male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

I was diagnosed with a 1-year-old boy who had a chronic condition called chronic fatigue syndrome (C",5
2,Redacted Age,"A male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

The study was conducted in the New York City Public Library, whose offices are located in the New York City borough of Manhattan.

",1
2,Redacted Age,"A male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses? Some of the symptoms are related to the physical symptoms, such as fatigue, irritability, and appetite. Yet, the symptoms can also come from",2
2,Redacted Age,"A male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

The latest study from the University of Pennsylvania has found that a male diagnosed with breast cancer is more likely to be diagnosed with non-mel",3
2,Redacted Age,"A male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

A lot of people don’t recognize the signs of a male genital warts, but it’s a lot easier to",4
2,Redacted Age,"A male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A male presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

If you’re trying to decide whether to stay with a drug and alcohol combination therapy, you may be able to find out if",5
3,Redacted Gender,"A 22-year-old patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A 22-year-old patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses? One possibility is that she is an alcoholic and not an alcoholic drinker. Another possibility is that she has no family history",1
3,Redacted Gender,"A 22-year-old patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A 22-year-old patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

A new study from the University of Pennsylvania’s School of Medicine revealed that the disease may be more common",2
3,Redacted Gender,"A 22-year-old patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A 22-year-old patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses? She has a history of Cushing\'s disease, and has a history of Cushing\'s disease. She is",3
3,Redacted Gender,"A 22-year-old patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A 22-year-old patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

Dietary supplements may help to reduce the incidence of overweight and obesity in American children, but the evidence is",4
3,Redacted Gender,"A 22-year-old patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A 22-year-old patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses? The patient is a Caucasian male with a body mass index (BMI) of 35.7 kg/m^2",5
4,Fully Redacted,"A patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

A case report of a patient with an acute myocardial infarction who presented with a chest pain for 3 days. She was",1
4,Fully Redacted,"A patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses? The answers to these questions are as follows:

Abdominal pain (e.g., severe abdominal pain), abdominal pain with a fever",2
4,Fully Redacted,"A patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

The most common causes of chest pain are viral or bacterial causes, such as hepatitis C or Hepatitis B. A few examples of",3
4,Fully Redacted,"A patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?

This patient was a 29-year-old student at a major international medical school in the Philippines. She had been diagnosed with a non",4
4,Fully Redacted,"A patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses?","A patient presents with persistent chest pain, night sweats, and weight loss. What could be potential diagnoses? The diagnosis is based on a history of a medical condition. The condition is based on the medical report of the patient. If a medical condition is",5
